{'id': '00010002', 'head_ver': 1, 'tail_ver': 2, 'length': 59.0, 'flow': '509.37'}
{'id': '00150019', 'head_ver': 15, 'tail_ver': 19, 'length': 55.0, 'flow': '607.98'}
{'id': '00160002', 'head_ver': 16, 'tail_ver': 2, 'length': 113.0, 'flow': '78.75'}
{'id': '00160015', 'head_ver': 16, 'tail_ver': 15, 'length': 107.0, 'flow': '336.97'}
{'id': '00160017', 'head_ver': 16, 'tail_ver': 17, 'length': 62.0, 'flow': '705.46'}
{'id': '00160020', 'head_ver': 16, 'tail_ver': 20, 'length': 41.0, 'flow': '320.15'}
{'id': '00170009', 'head_ver': 17, 'tail_ver': 9, 'length': 62.0, 'flow': '433.53'}
{'id': '00170010', 'head_ver': 17, 'tail_ver': 10, 'length': 46.0, 'flow': '659.88'}
{'id': '00170011', 'head_ver': 17, 'tail_ver': 11, 'length': 122.0, 'flow': '480.18'}
{'id': '00170016', 'head_ver': 17, 'tail_ver': 16, 'length': 62.0, 'flow': '787.92'}
{'id': '00170021', 'head_ver': 17, 'tail_ver': 21, 'length': 92.0, 'flow': '568.65'}
{'id': '00180011', 'head_ver': 18, 'tail_ver': 11, 'length': 77.0, 'flow': '559.34'}
{'id': '00180012', 'head_ver': 18, 'tail_ver': 12, 'length': 62.0, 'flow': '693.99'}
{'id': '00180013', 'head_ver': 18, 'tail_ver': 13, 'length': 168.0, 'flow': '246.71'}
{'id': '00180022', 'head_ver': 18, 'tail_ver': 22, 'length': 90.0, 'flow': '673.87'}
{'id': '00180025', 'head_ver': 18, 'tail_ver': 25, 'length': 108.0, 'flow': '588.89'}
{'id': '00190015', 'head_ver': 19, 'tail_ver': 15, 'length': 55.0, 'flow': '804.84'}
{'id': '00190023', 'head_ver': 19, 'tail_ver': 23, 'length': 72.0, 'flow': '608.92'}
{'id': '00200016', 'head_ver': 20, 'tail_ver': 16, 'length': 41.0, 'flow': '305.69'}
{'id': '00200023', 'head_ver': 20, 'tail_ver': 23, 'length': 56.0, 'flow': '257.30'}
{'id': '00210017', 'head_ver': 21, 'tail_ver': 17, 'length': 92.0, 'flow': '773.82'}
{'id': '00210022', 'head_ver': 21, 'tail_ver': 22, 'length': 60.0, 'flow': '707.10'}
{'id': '00210023', 'head_ver': 21, 'tail_ver': 23, 'length': 107.0, 'flow': '538.59'}
{'id': '00210024', 'head_ver': 21, 'tail_ver': 24, 'length': 97.0, 'flow': '553.36'}
{'id': '00210025', 'head_ver': 21, 'tail_ver': 25, 'length': 192.0, 'flow': '264.69'}
{'id': '00220018', 'head_ver': 22, 'tail_ver': 18, 'length': 90.0, 'flow': '700.16'}
{'id': '00220021', 'head_ver': 22, 'tail_ver': 21, 'length': 60.0, 'flow': '755.10'}
{'id': '00230019', 'head_ver': 23, 'tail_ver': 19, 'length': 72.0, 'flow': '503.60'}
{'id': '00230020', 'head_ver': 23, 'tail_ver': 20, 'length': 56.0, 'flow': '372.38'}
{'id': '00230021', 'head_ver': 23, 'tail_ver': 21, 'length': 107.0, 'flow': '535.65'}
{'id': '00240021', 'head_ver': 24, 'tail_ver': 21, 'length': 97.0, 'flow': '602.34'}
{'id': '00240025', 'head_ver': 24, 'tail_ver': 25, 'length': 143.0, 'flow': '192.72'}
{'id': '00250013', 'head_ver': 25, 'tail_ver': 13, 'length': 182.0, 'flow': '313.84'}
{'id': '00250018', 'head_ver': 25, 'tail_ver': 18, 'length': 108.0, 'flow': '579.05'}
{'id': '00250021', 'head_ver': 25, 'tail_ver': 21, 'length': 192.0, 'flow': '324.23'}
{'id': '00250024', 'head_ver': 25, 'tail_ver': 24, 'length': 143.0, 'flow': '176.27'}
